asset,market,n_eligible,n_total,best_sr_perobs,best_sr_ann,var_sr_perobs,median_abscorr,eff_n_sample,eff_n_frac,n_sampled
LTC_30m_27W,crypto,48500,50389,0.04725265777963235,0.7501126876304923,0.00140982471526383,0.025204903138489138,330.6776133043125,0.2755646777535938,1200
BTC_30m_27W,crypto,28778,30036,0.04600968783617954,0.7303811514854675,0.0011524437267672514,0.03826123301430792,190.14265919718727,0.15845221599765605,1200
UVXY_equity,equity,6236,6296,0.030468999299359555,0.4836803690586398,0.0217740823336461,0.2851687983990564,6.0726322167190085,0.00506052684726584,1200
XLK_equity,equity,6236,6296,0.026108081370368578,0.4144529430902021,0.012098876834295853,0.19425404050186068,6.453711106578141,0.0053780925888151174,1200
EURGBP_fx,fx,5864,6248,0.022944301799707547,0.36422949940822735,0.018437571692868682,0.32937381323663273,5.561281469065703,0.004634401224221419,1200
XLF_equity,equity,6236,6296,0.012854743805860346,0.2040627316665266,0.02932423982709789,0.2499733189092552,8.139311293696634,0.0067827594114138615,1200
AUDUSD_fx,fx,5888,6296,-0.0017756217147218481,-0.028187120878080518,0.0053980122013138395,0.28929553038714606,6.151771106695076,0.005126475922245897,1200
USDCHF_fx,fx,5876,6296,-0.0051309755729822765,-0.08145171209554948,0.011250195169883601,0.2969934962544001,6.208494168452617,0.005173745140377181,1200
XLE_equity,equity,6236,6296,-0.005672935800962134,-0.09005506399788492,0.02006321554825759,0.26139468617037964,6.9586397317820365,0.005798866443151697,1200
VXX_equity,equity,6236,6296,-0.005748611574756868,-0.09125637966428439,0.027853395080942606,0.24012028634744192,7.360388566116875,0.0061336571384307285,1200
GBPUSD_fx,fx,5876,6296,-0.014786640039628908,-0.23473063362653013,0.0026047882551793766,0.3249869829724778,5.620356300253314,0.004683630250211095,1200
USDCAD_fx,fx,5888,6248,-0.02035733546427878,-0.3231626819663836,0.006074304849529539,0.3388822814539417,5.359416074853706,0.004466180062378088,1200
XLV_equity,equity,6236,6296,-0.023699194567337167,-0.3762130505862428,0.031444508427917954,0.18890710505468689,8.47038222415975,0.007058651853466458,1200
NZDUSD_fx,fx,5876,6296,-0.04255718080827088,-0.6755743015121731,0.020962883325235892,0.2845104403729351,6.298686533946189,0.005248905444955157,1200
