pair,bar_type,n_bars,n,skew,exkurt,jb,jb_p,ac1,lb_p,count_cv
NEARUSDT,time,2019,2018,0.10968813394468489,2.804599216949611,665.4273199215904,3.1936949030868447e-145,-5.0320545064184704e-05,0.8986960401091204,0.045171532880465326
NEARUSDT,tick,2019,2018,0.3178553342051132,6.361084280991099,3436.2774146130705,0.0,-0.030637958423056184,0.0010885673672696623,0.9010239502608579
NEARUSDT,volume,2019,2018,0.8475884021707732,10.925246785137574,10277.896124130311,0.0,0.01992950134144309,7.361282749984114e-09,0.6299991458307723
NEARUSDT,dollar,2017,2016,0.5655454242111412,9.094032116182463,7054.386077553589,0.0,0.05181453038269941,0.0064927611145470104,1.1111427286429327
SOLUSDT,time,2050,2049,0.26937956880249425,4.543689409892594,1787.3576288366748,0.0,-0.020899355232991853,0.18355925765899353,0.03110432007476927
SOLUSDT,tick,2050,2049,0.9376511364023553,21.886023447459756,41194.69942421623,0.0,0.02598871370309565,3.953394933299976e-08,0.6808711082628579
SOLUSDT,volume,2047,2046,0.1368110589116832,3.7252072515278014,1189.4112505993335,5.279934993425353e-259,0.012824168880212468,0.10329750759525592,0.7484436786280182
SOLUSDT,dollar,2050,2049,2.7676564129221966,65.85785713799208,372909.20935357426,0.0,0.08986873768392971,4.7862645400482184e-14,0.7796029422681588
SUIUSDT,time,1094,1093,0.46138946640332473,2.475067640238912,317.76610397376777,9.95330366504277e-70,0.01591486932931444,0.39433124644873796,0.04117328030363218
SUIUSDT,tick,1094,1093,0.05538598256731678,2.960955932581358,399.83444983344754,1.5033232744309665e-87,-0.0022953043896023245,0.9117731924258154,0.6441414106052213
SUIUSDT,volume,1094,1093,0.07464256308993214,1.0018871016322137,46.72865616474502,7.128550662073919e-11,0.01591087420670775,0.5825778070138556,0.5378057457695131
SUIUSDT,dollar,1094,1093,0.13280433187088314,3.165356301451487,459.5167135746209,1.6489727398093178e-100,0.002196415537979917,0.02343108167147041,0.7691808507197696
TRXUSDT,time,2293,2292,0.41450016225390107,20.728059267080404,41097.43968043384,0.0,-0.07244390873922121,0.0014643173554869978,0.03690160401488892
TRXUSDT,tick,2290,2289,-2.135480358776752,36.918062208164955,131730.4643108945,0.0,0.004306182141152667,0.00033004442487518596,0.9538011743131806
TRXUSDT,volume,2273,2272,-0.3480318455808718,3.338160769710586,1100.76714806371,9.363772804841499e-240,0.06177849395926524,0.011604519934103186,1.398404761463569
TRXUSDT,dollar,2277,2276,-1.3578318643894893,21.88636965236038,46125.79590684429,0.0,-0.016798624007520444,0.03706453151959292,1.4264501099935614
UNIUSDT,time,2051,2050,0.36507256386113135,6.922305356672105,4138.559078542631,0.0,-0.048435952241383966,0.08868943417813917,0.04496714204909762
UNIUSDT,tick,2048,2047,-0.13964095847706198,3.953031048267105,1339.4589583214402,1.3809655115024932e-291,0.003426793962310159,0.44725851525903504,0.7120011740782093
UNIUSDT,volume,2046,2045,0.15496580464017312,2.724244637938935,640.5593079074978,8.022571973504535e-140,0.03594722932804526,0.30027266738232467,0.7402396412494667
UNIUSDT,dollar,2044,2043,0.01217543742853713,1.165570487301939,115.6974331486716,7.526994636690667e-26,0.024762933516434056,0.41817528093309486,0.8408566546182644
XLMUSDT,time,2288,2287,1.435798317995688,14.702074860715584,21383.17102887383,0.0,-0.0024916445642446396,0.24211610047480783,0.029455081890720998
XLMUSDT,tick,2285,2284,-0.997285450564883,22.863562533849578,50126.2632585971,0.0,-0.04491332212721734,0.41531175201405984,1.3178674836460387
XLMUSDT,volume,2276,2275,-0.07138148667514066,4.4438464544309095,1873.856129705975,0.0,-0.031290625609770584,0.06943512118107446,1.1759204151195572
XLMUSDT,dollar,2258,2257,0.11276700101578457,4.040511021768792,1540.0822790130642,0.0,0.008964339393882347,0.01640743461722063,1.6523271319715542
XRPUSDT,time,2302,2301,0.3946418260330089,17.418276523912542,29147.85285598418,0.0,-0.02939561865739837,0.1311759716383417,0.02936605172210774
XRPUSDT,tick,2301,2300,-0.45487090942551817,7.378936475521135,5297.315311646172,0.0,0.0689567489920144,0.007195321160533541,0.9174860194601222
XRPUSDT,volume,2297,2296,-0.06912242218771529,2.0042729425326122,386.13187263409185,1.4207877828748572e-84,0.05936944900693581,0.14189789706398065,0.8748313805667093
XRPUSDT,dollar,2298,2297,-0.06568018727081337,6.4866734221502576,4028.7645414353615,0.0,0.06822320486820953,0.0014906789188456773,1.0497707190512922
ZECUSDT,time,2272,2271,0.13526719763660944,4.73887020669153,2131.9087911293864,0.0,-0.012754625219735428,0.3916084924215996,0.03707062588239972
ZECUSDT,tick,2265,2264,-0.7538523897856438,8.742539760706245,7424.521524357899,0.0,0.0013191973624792097,0.10201731022574166,2.1462816130599327
ZECUSDT,volume,2271,2270,-0.230995219925802,2.881428132503218,805.4776489958432,1.2380861699949276e-175,0.01831264161766634,0.0067618979156305725,1.0180333947197127
ZECUSDT,dollar,2226,2225,-0.2626649206722679,6.259812554203908,3658.3843691477678,0.0,-0.01364554344990098,0.0022039107663237717,2.512692884147577
