pair,bar_type,n_bars,n,skew,exkurt,jb,jb_p,ac1,lb_p,count_cv
BCHUSDT,volume,1096,1095,-0.12569223723552497,3.968224942647553,721.3314028188963,2.31673343328656e-157,-0.04168040389106017,0.6795746077438097,1.4067666620678163
BCHUSDT,dollar,1095,1094,-0.24198755926271126,2.6702757788398115,335.70322864786766,1.2675646544769066e-73,-0.0005448809093862964,0.42384206416336234,1.534389649525064
BNBUSDT,time,1096,1095,-0.36717006057399726,2.9422144641756622,419.5620873571535,7.820784559882391e-92,-0.07076536099699575,0.013796497289189023,0.08245921238769882
BNBUSDT,tick,1096,1095,-0.2822098791805044,1.9073005081913017,180.5091482054888,6.352380452190223e-40,-0.026345021907753376,0.7969583707172346,0.5473614469299747
BNBUSDT,volume,1095,1094,-0.22555326887270427,2.019186021039446,195.1244404074079,4.258592876517388e-43,0.027735701114056408,0.3566936989855276,0.5593121703902356
BNBUSDT,dollar,1096,1095,-0.07250830410374491,4.593668247962267,963.7285616227931,5.3579889959151203e-210,-0.03352990361321003,0.21395159596577812,0.561684158752468
BTCUSDT,time,1096,1095,0.06666229611842443,3.5632559864012414,580.1021956380729,1.0774788329547994e-126,0.008210397669286709,0.23175111703922782,0.08245921238769882
BTCUSDT,tick,1096,1095,-0.010602325990887118,0.6622114030743425,20.0281695704981,4.4764963678996594e-05,0.02849306858080111,0.7486738327918738,0.3658904843981828
BTCUSDT,volume,1096,1095,-0.06119010365645126,0.4986858936843426,12.029694441390083,0.0024422214569467336,0.07124184685799077,0.03926082084398571,0.47328943880094493
BTCUSDT,dollar,1095,1094,-0.14798036133121223,0.9337872539423726,43.73955063219197,3.177439277802139e-10,-0.022710499602104195,0.47387196393492004,0.40913168000315325
DOGEUSDT,time,1096,1095,1.356569616008369,12.236315330820437,7167.16451739582,0.0,-0.02252437376062212,0.007811318073709209,0.08245921238769882
DOGEUSDT,tick,1096,1095,0.059678757408742546,1.7916978777253405,147.11450475086838,1.1336818386499645e-32,-0.0601494474761766,0.18512023703270913,1.20817117612139
DOGEUSDT,volume,1096,1095,-0.29482356913283986,1.3322817187044507,96.84628610819145,9.334609943116866e-22,0.028420465313676663,0.36932567774870023,0.9131354664947902
DOGEUSDT,dollar,1096,1095,-0.10494300322540426,1.1261749438360944,59.87469762965702,9.962643889145609e-14,0.00413360902625795,0.44679326730256774,1.5233942449757765
DOTUSDT,time,1096,1095,0.09192198786349544,5.292379392483099,1279.465444763459,1.4709868037122803e-278,-0.00654367574613012,0.5135765964691713,0.08245921238769882
DOTUSDT,tick,1096,1095,-0.191778304751245,0.8125600751026685,36.83623564319043,1.0025662094502445e-08,0.02660449820628185,0.6114594177335559,0.6598616338182716
DOTUSDT,volume,1096,1095,-0.16601652488963392,1.0443863301703136,54.79511184615037,1.262968866783294e-12,0.08773861726375648,0.08048503470790708,0.47036243463758237
DOTUSDT,dollar,1095,1094,-0.12776595811551628,1.4087425679421477,93.4390953392402,5.128120835751594e-21,-0.048754291572858606,0.4055773713557842,0.6722918634641364
ETCUSDT,time,1096,1095,1.0213158419533006,7.949172611236579,3073.377078844562,0.0,-0.009407009550642671,5.723319317128763e-06,0.08245921238769882
