market,pair,bar_type,n_bars,skew,exkurt,jb,jb_p,ac1,count_cv
crypto,LTCUSDT,volume,1096,-0.22301950523734182,1.8903990649472044,172.1230237025939,4.206881691855907e-38,-0.0038474324940997373,0.5751628728086294
crypto,LTCUSDT,dollar,1096,-0.37732993863276443,2.3702548151564518,282.3101359976588,4.978893944154483e-62,-0.03868770943827054,0.6715941606837784
crypto,NEARUSDT,time,1096,0.1963634734352908,3.7218148832107234,639.0301593857257,1.723312366452276e-139,-0.0436697673482792,0.08560961625039183
crypto,NEARUSDT,tick,1096,-0.0864705323057978,5.618724337961284,1441.7487132758781,0.0,-0.04591508241268708,0.8373880155752584
crypto,NEARUSDT,volume,1096,-0.04195132559432506,0.9410461315293901,40.72521611727047,1.4342725377109795e-09,0.009668263254375297,0.5294350416440031
crypto,NEARUSDT,dollar,1095,-0.04530827898111739,0.631853923547141,18.572962956627094,9.266854361455492e-05,-0.008206597222789828,1.0002266435278249
crypto,SOLUSDT,time,1095,-1.2508928950550924,30.52510102752011,42759.0230424424,0.0,-0.06714828966212837,0.08322820355054134
crypto,SOLUSDT,tick,1096,-0.36682685920473845,4.067238402576377,779.3058425879693,5.968791720253283e-170,0.015541177785561158,0.6577410557560947
crypto,SOLUSDT,volume,1096,-0.3021882475187786,2.73170972500397,357.1300967304786,2.81958268031813e-78,-0.007420141972888434,0.7905269756257953
crypto,SOLUSDT,dollar,1096,-0.05592863266380441,5.8571531187166705,1565.7931833653918,0.0,0.02164811294959695,0.7657250678801694
crypto,SUIUSDT,time,608,0.8725284674251456,4.7245577537767005,641.5653538544527,4.851248487570029e-140,-0.017052752566076763,0.07800914571816582
crypto,SUIUSDT,tick,609,-0.06300448380097791,2.694668532485604,184.35362458373382,9.292210986368894e-41,-0.035696206864347726,0.7854341090400712
crypto,SUIUSDT,volume,608,-0.13182347079894216,2.4935910515335165,159.02150698149507,2.943869180900979e-35,-0.025681744951257343,0.5870575320979465
crypto,SUIUSDT,dollar,609,-0.06742216645210956,2.8302283419988967,203.38551170324521,6.845375625362054e-45,-0.040846389558605256,0.9189270255673382
crypto,TRXUSDT,time,1095,3.4707145617319113,66.43239250423156,203367.5898354548,0.0,-0.02793953891157906,0.08322820355054134
crypto,TRXUSDT,tick,1096,-0.15030396511430616,2.565227570013489,304.3533161238598,8.137989575974517e-67,9.64309095207773e-05,1.1795242509165182
crypto,TRXUSDT,volume,1096,0.2811728118951723,3.3195236123440512,517.1808011162044,4.9615339161995723e-113,0.03577147465379612,1.6913668981958965
crypto,TRXUSDT,dollar,1095,0.0557370632520233,1.567551268993463,112.57458113384686,3.5870737472454196e-25,-0.023661577952982172,1.6283063718924333
