pair,n,d_star,adf_stat_at_dstar,adf_p_at_dstar,corr_level_at_dstar,corr_level_at_d1,window_len,error,ann_vol_proxy,trend_strength
CFXUSDT,28670.0,0.1,-3.523192569973729,0.007411058946143026,0.9854395711688683,0.01264889270790545,4076.0,,0.012562433553709708,0.8007453402330971
CGPTUSDT,12609.0,0.2,-3.9137924252915317,0.0019356548751991171,0.9579358552681269,0.005966268867234786,3382.0,,0.013254749559288723,1.525456709914554
CHILLGUYUSDT,13166.0,0.0,-2.9556255676078527,0.03925138415265466,0.9999999999999999,-0.004923847490278086,1.0,,0.01901587141001964,1.8404415758807604
CHRUSDT,45717.0,0.1,-2.9903358441364656,0.03580682031126398,0.9928169813650776,0.011141254016338113,4076.0,,0.014373946563971186,1.0004939007416953
CHZUSDT,46912.0,0.1,-3.466962609465813,0.008877226128622545,0.9917318437691156,0.007362914731493217,4076.0,,0.01327490825980914,0.14301982833988158
CKBUSDT,28480.0,0.15,-3.453318097490452,0.00927011242562467,0.9746571929968099,0.01144949090691601,3901.0,,0.012089886185150963,0.7030470727366106
CLOUSDT,5465.0,0.15,-3.3609002942530988,0.012366222916215001,0.9648625861930856,0.020222807108183707,3901.0,,0.02730312931422971,0.3348525737756349
COAIUSDT,5919.0,0.05,-4.945997862021975,2.8354597370522077e-05,0.9774178037691438,0.017404136756810726,3237.0,,0.03213146878483437,0.1018631064101773
COMPUSDT,51830.0,0.1,-3.0508815497585484,0.030408243250407467,0.9932721839938755,0.007835185190865316,4076.0,,0.012375220815060975,0.8975645319157528
COOKIEUSDT,12185.0,0.2,-3.0343953866562012,0.031804775878994274,0.9794045717341437,0.004623760115175753,3382.0,,0.015641253880198443,2.2706081372378795
COSUSDT,14558.0,0.1,-3.030528561641358,0.03214010893191144,0.9865629374389788,0.007364495167463266,4076.0,,0.012217856378103156,1.3161603442480407
COTIUSDT,45765.0,0.1,-3.1149591286928344,0.02546577087730838,0.9929178133430197,0.009263250153038484,4076.0,,0.013887820287259326,1.1853020155368066
COWUSDT,13671.0,0.1,-3.4026159166755083,0.01087001778354918,0.9828625451346706,0.017827777318259522,4076.0,,0.014048773834349644,0.6463378696818456
CROSSUSDT,7765.0,0.15,-3.58093214185856,0.006136203822566609,0.9339033434957712,0.020390194047556067,3901.0,,0.01789957873272322,0.15317449172624711
CRVUSDC,16677.0,0.15,-4.089138601008588,0.0010093457677272258,0.974125094049728,0.013707835072393938,3901.0,,0.012240421031483345,0.14397538878712587
CRVUSDT,50325.0,0.1,-3.945296805927575,0.0017256561298344315,0.9906727411925997,0.008087616461732646,4076.0,,0.014873950504424593,0.9399167856505947
CTKUSDT,9474.0,0.1,-3.0040019280621295,0.03452235694187888,0.9839510836723987,0.013793997607931296,4076.0,,0.009494923113139979,1.3016143843437542
