pair,n,d_star,adf_stat_at_dstar,adf_p_at_dstar,corr_level_at_dstar,corr_level_at_d1,window_len,error,ann_vol_proxy,trend_strength
1000SATSUSDT,21589.0,0.2,-3.9738106515540697,0.0015540287013269326,0.9774678966040488,0.0069860443017389934,3382.0,,0.015371348586633917,1.6706432040885963
1000SHIBUSDC,19028.0,0.15,-3.585126369797251,0.00605182959403014,0.9794880692451814,0.009813802701349275,3901.0,,0.009228569760092073,1.351293027647552
1000SHIBUSDT,44290.0,0.05,-3.0386128236102987,0.03144243054936149,0.9963234878590103,0.012462901994523233,3237.0,,0.01256897191322151,0.5935061241089328
1000XECUSDT,41184.0,0.1,-3.371065507662205,0.011985693393708037,0.9916291808873721,0.004036819445771078,4076.0,,0.010183157547310927,1.7227135613282787
1INCHUSDT,47561.0,0.15,-4.024697517128711,0.001286568412144372,0.9880607239885983,0.006425239204672902,3901.0,,0.012739881277391372,1.2431085628641727
1MBABYDOGEUSDT,14896.0,0.15,-3.097791949070032,0.026717026257368433,0.97658368556485,0.013561772207718693,3901.0,,0.01276663735308557,0.8939661927191812
2ZUSDT,5751.0,0.0,-3.819251436733509,0.002716376392359413,1.0,-0.038733352906537205,1.0,,0.014728012771266332,2.013111637943252
4USDT,5608.0,0.0,-3.1707287213700206,0.021742775545760616,1.0,-0.00835058928063114,1.0,,0.025871005017472394,1.7139050812322074
AAVEUSDC,8346.0,0.15,-3.35460109909506,0.012607374616837735,0.960130405845389,0.014786435436753535,3901.0,,0.008812310592973993,1.5357688833827527
AAVEUSDT,49244.0,0.05,-3.0892803126774298,0.02735673154183453,0.9978118602423811,0.00839132435751746,3237.0,,0.012449204163691448,0.25575409525193943
ACEUSDT,21449.0,0.15,-2.863244705765659,0.04979212844967896,0.9895358250532689,0.0030517870874710493,3901.0,,0.013749010975262361,2.3877984864012887
ACHUSDT,28621.0,0.1,-3.561661119913056,0.006537731750449061,0.9892742229580967,0.014067470077143804,4076.0,,0.011860776716282386,0.9564156804654451
ACTUSDT,13551.0,0.05,-3.2442635512655307,0.017561304077930356,0.9953766277315669,0.002794927442357754,3237.0,,0.017409002824334056,1.7288609050723236
ACXUSDT,12948.0,0.15,-3.1648137997887584,0.022113891806394538,0.9764065779446789,-0.008965175041744348,3901.0,,0.012299099014740224,2.4105347204343928
ADAUSDC,10793.0,0.2,-3.268879542669351,0.01632817741367777,0.9636069246413096,0.0104773150597054,3382.0,,0.008509501579933161,1.5766048776337651
ADAUSDT,55460.0,0.1,-3.6746176450277757,0.00448468080385815,0.9864593295880261,0.0024587549784858705,4076.0,,0.010993387724835794,0.5696218583869974
AERGOUSDT,9808.0,0.1,-5.881762713662412,3.06659525558833e-07,0.9341529492608158,-0.007680734586513366,4076.0,,0.01195351715049983,1.7594006118708054
AEROUSDT,12993.0,0.15,-3.4142692817733535,0.01048194498648848,0.9632478490696375,0.00846699106928202,3901.0,,0.012727222346018141,1.0130613066132381
AEVOUSDT,19382.0,0.2,-3.9643608460680437,0.001609066463711592,0.9715969548167461,-0.002846631945670208,3382.0,,0.013062121251097328,2.620583738295781
AGLDUSDT,24865.0,0.1,-2.919527070343431,0.043123931016810446,0.9921872398249311,0.014481314894277574,4076.0,,0.013533566272646179,0.5198642852179782
AGTUSDT,8993.0,0.15,-3.2274366176413225,0.018450465168352637,0.9768740303818442,0.010564321975073796,3901.0,,0.022444196829570707,0.3603003709262125
AINUSDT,7769.0,0.15,-3.526710015209626,0.007327044044795813,0.9607901256325071,0.02111221896444616,3901.0,,0.019623557627628286,0.10801337793749563
AIOTUSDT,9471.0,0.15,-3.137828995790004,0.023877412746666826,0.9432820932528281,0.011917124183824767,3901.0,,0.02600258111460826,0.6106997084728836
AIOUSDT,6952.0,0.1,-4.400492560283347,0.0002962373933778531,0.9614609673058166,0.03571428315010092,4076.0,,0.020076807599971786,0.17059586750291447
AIXBTUSDT,12609.0,0.15,-3.0852222470876978,0.027666313937609745,0.9740389292783838,0.00784970365242568,3901.0,,0.017221817929016357,1.1850477486844975
AKEUSDT,5895.0,0.05,-3.0945070498714125,0.026962371018457203,0.9953661482813674,0.01760812690162555,3237.0,,0.0279845299591134,0.5935335190573057
AKTUSDT,13384.0,0.15,-3.299203563187295,0.01491411279701512,0.9567346749951411,0.0010535636031718397,3901.0,,0.012218320042286429,1.0911589325485704
ALCHUSDT,12180.0,0.05,-3.381024282239124,0.01162301434296312,0.9958946929606717,0.020203819609498307,3237.0,,0.02170307069506323,0.43645352903742946
ALGOUSDT,52171.0,0.1,-3.145557399439001,0.02336034377429097,0.9922254863983406,0.007845857143223188,4076.0,,0.012245075996659634,0.20218477359299522
ALICEUSDT,45624.0,0.15,-4.045362695837492,0.0011907457157103465,0.9903167478350666,0.004623196674582302,3901.0,,0.01515724571802139,1.61472928210702
ALLUSDT,7122.0,0.15,-3.058198050083982,0.029805400475453943,0.8952040779509947,0.0075930888480715795,3901.0,,0.007334824216112854,1.0392630299388945
ALPINEUSDT,9330.0,0.05,-3.0483519046058833,0.03061907531186731,0.9937622563139956,0.019012721588279297,3237.0,,0.019927323875037786,0.5328093994784806
ALTUSDT,20533.0,0.2,-4.369417181273706,0.0003360926951786932,0.9661255116112111,0.006005523780786264,3382.0,,0.014133517265664636,1.939849315380603
ANIMEUSDT,11794.0,0.15,-3.156418049183799,0.022650077929775695,0.9746570280112138,-0.007756819502907099,3901.0,,0.012617553165493504,2.2987794916402837
ANKRUSDT,46792.0,0.1,-2.955745450369918,0.039239025475065255,0.994062314078621,0.010173931900625047,4076.0,,0.01312749616346997,0.293291629029937
APEUSDT,36824.0,0.15,-3.033495229706429,0.031882571413959365,0.989300711133834,0.0069117490851144155,3901.0,,0.012569450731157816,1.652178679406438
API3USDT,37392.0,0.1,-3.626173538528139,0.005279915890832782,0.9908519212914411,0.009734776071356014,4076.0,,0.013384325432443127,1.0878494906830982
