market,instrument,d_star,adf_stat,adf_p,corr_level_dstar,corr_level_d1
crypto,ASRUSDT,0.05,-3.329978727733804,0.013590462931164,0.9878977213948524,0.0187229340756422
crypto,ASTERUSDT,0.05,-4.131891004635757,0.000857418485315,0.9943962624248336,0.0215909406073176
crypto,APRUSDT,0.05,-4.095909635667895,0.0009837128001622,0.9873303855358072,0.0231558595080857
crypto,0GUSDT,0.05,-3.6685002698901465,0.0045786860880542,0.9680397333163844,0.0170996474731855
crypto,FLOCKUSDT,0.05,-3.5643404301696835,0.0064805191985148,0.9638141106158198,-0.0090590607122691
crypto,ORDERUSDT,0.05,-4.489109724657824,0.0002057441808341,0.9451478313308116,0.0088325722681036
crypto,ETHUSDT,0.05,-3.374727141102859,0.0118511915008658,0.9986104897484136,-0.0018000050154199
crypto,CAKEUSDT,0.05,-4.0232121301570665,0.0012937259421286,0.9951113946819032,0.0202183674419604
crypto,SOLUSDT,0.05,-3.1875821099404256,0.0207148217125142,0.997532219275678,0.0002570170181416
crypto,BUSDT,0.05,-3.401587884968889,0.0109048596780189,0.9908155816594612,0.0218508219063848
crypto,BCHUSDC,0.05,-3.0198193045621413,0.0330845244765246,0.9951069905146118,0.0192413194519923
crypto,CUSDT,0.05,-3.062996717141116,0.0294155729745798,0.9858025094998945,0.0122005930045294
crypto,FUSDT,0.05,-3.302923690870073,0.0147482901823485,0.9953739312132408,0.0276272960352147
crypto,HANAUSDT,0.05,-4.407626518079316,0.0002877423018883,0.9586810206887372,0.0172952761672693
crypto,IDOLUSDT,0.05,-2.9245000915627286,0.0425722500866267,0.9935938630627188,0.0200595867256599
crypto,HEMIUSDT,0.05,-2.8720733147244246,0.0486932035304892,0.9906237237168376,0.0140846216797158
crypto,PEOPLEUSDT,0.05,-2.894327775431614,0.046011587193725,0.9972167524554764,0.008544997166369
crypto,PTBUSDT,0.05,-3.1028062247853407,0.0263462111001819,0.9848918209700788,0.0082380612458854
crypto,PROMPTUSDT,0.05,-3.349039174975294,0.0128237580657697,0.9972114288740346,0.0132649268671546
crypto,PUMPUSDT,0.05,-3.0484883151296724,0.030607674578501,0.98551204383999,0.0168188642147958
crypto,AAVEUSDT,0.05,-3.0892803126774298,0.0273567315418345,0.9978118602423812,0.0083913243575174
crypto,ACTUSDT,0.05,-3.2442635512655307,0.0175613040779303,0.9953766277315668,0.0027949274423577
crypto,ALPINEUSDT,0.05,-3.048351904605884,0.0306190753118673,0.9937622563139956,0.0190127215882792
crypto,XLMUSDT,0.05,-3.049420780132601,0.0305298390377722,0.9971759223760408,0.0085191112736635
crypto,XMRUSDT,0.05,-3.971769661646642,0.001565765511182,0.9976007098277224,0.0100518696244396
crypto,ALCHUSDT,0.05,-3.381024282239124,0.0116230143429631,0.9958946929606716,0.0202038196094983
crypto,XPLUSDT,0.05,-3.2220814873626216,0.0187415710776084,0.9817755821253183,0.0094789997863536
crypto,XPINUSDT,0.05,-3.0345326776378645,0.03179292476997,0.9913245450217476,0.0243016997912926
