d,corr,passed
0.55,0.5639320262948152,1
0.6,0.470492012928288,1
0.65,0.3815044058261743,1
0.7,0.3052804402479748,1
0.75,0.23816684029496404,1
0.8,0.1802980456295278,1
0.85,0.1343615430476409,1
0.9,0.0951623092140246,1
0.95,0.06052699221778649,1
1.0,0.0104773150597054,1
0.0,1.0,0
0.05,0.997660924880746,0
0.1,0.9864593295880261,1
0.15,0.9674965609244173,1
0.2,0.9437419352559204,1
0.25,0.9161489714486021,1
0.3,0.8896568672437088,1
0.35,0.8577989707597962,1
0.4,0.8218060440042638,1
0.45,0.7763223990215556,1
0.5,0.7176768194235972,1
0.55,0.643018520437455,1
0.6,0.559337976982628,1
0.65,0.4691237761388066,1
0.7,0.38159954969797094,1
0.75,0.299847407718385,1
0.8,0.2284955804413753,1
0.85,0.16825222808770282,1
0.9,0.11669379169773,1
0.95,0.07106473176369668,1
1.0,0.0024587549784858705,1
0.0,0.9999999999999999,0
0.05,0.9958738843147559,0
0.1,0.9341529492608158,1
0.15,0.8639627090318539,1
0.2,0.8620701374380081,1
0.25,0.8359076128920807,1
0.3,0.8091508587182454,1
0.35,0.7580531052763066,1
0.4,0.6709393289863754,1
0.45,0.5655414995822058,1
0.5,0.4720615925128636,1
0.55,0.3893049607402326,1
0.6,0.3142875777369827,1
0.65,0.248448891058292,1
0.7,0.19837384158908994,1
0.75,0.14689233132783172,1
0.8,0.10815824332423715,1
0.85,0.08019551351906902,1
0.9,0.04874022350224957,1
0.95,0.02560367572312927,1
1.0,-0.007680734586513366,1
0.0,1.0,0
0.05,0.9961982504654869,0
0.1,0.9845900497628023,0
0.15,0.9632478490696375,1
0.2,0.9268022045404903,1
0.25,0.8810849310944338,1
0.3,0.8206167944897681,1
0.35,0.7414442064507167,1
0.4,0.6565518924025848,1
0.45,0.5636854381464899,1
0.5,0.47910503182923914,1
0.55,0.39090406943273065,1
0.6,0.32076754867148005,1
0.65,0.2596067233015106,1
0.7,0.2022133765119568,1
0.75,0.15018922375619978,1
0.8,0.11377289566465397,1
0.85,0.08554865829274003,1
0.9,0.0599670516386541,1
0.95,0.037067502962535206,1
1.0,0.00846699106928202,1
0.0,0.9999999999999998,0
0.05,0.9990152836840337,0
0.1,0.9946988276286296,0
0.15,0.9862252965805016,0
0.2,0.9715969548167461,1
0.25,0.955181457504506,1
0.3,0.924645310308722,1
0.35,0.895122864635382,1
0.4,0.850863564617838,1
0.45,0.8028433950818691,1
0.5,0.7426169076894819,1
0.55,0.6598205951137867,1
0.6,0.5713292633436361,1
0.65,0.48612023952837824,1
0.7,0.4009223508558048,1
0.75,0.3231736435611472,1
0.8,0.2494071679900856,1
0.85,0.18502969348667975,1
0.9,0.12794723475102698,1
0.95,0.07558536647966964,1
1.0,-0.002846631945670208,1
0.0,1.0,0
0.05,0.9983712074218066,0
0.1,0.9921872398249311,1
0.15,0.9801002335897485,1
0.2,0.9598882777827095,1
0.25,0.9312403964763775,1
0.3,0.8923265190494847,1
0.35,0.8370222234969686,1
0.4,0.7723874265678139,1
0.45,0.6926123142555367,1
0.5,0.6040330078452988,1
0.55,0.5080687218946803,1
0.6,0.4192712904450951,1
0.65,0.33770591649458687,1
0.7,0.26675579065653066,1
0.75,0.20658872390245767,1
0.8,0.15704447565604093,1
0.85,0.11638858239201597,1
0.9,0.08310807616243404,1
0.95,0.05435937090896439,1
1.0,0.014481314894277574,1
0.0,1.0,0
0.05,0.9974127980284188,0
0.1,0.9910748828391712,0
0.15,0.9768740303818442,1
0.2,0.9483921991306803,1
0.25,0.9064606401592995,1
0.3,0.8467519247064709,1
0.35,0.7662297739174948,1
0.4,0.6598297883933554,1
0.45,0.5104248605140438,1
0.5,0.4382840227498797,1
