pair,n,d_star,adf_stat_at_dstar,adf_p_at_dstar,corr_level_at_dstar,corr_level_at_d1,window_len
COWUSDT,13671.0,0.1,-3.4026159166755083,0.01087001778354918,0.9828625451346706,0.017827777318259522,4076.0
CRVUSDT,50325.0,0.1,-3.945296805927575,0.0017256561298344315,0.9906727411925997,0.008087616461732646,4076.0
BATUSDT,55143.0,0.1,-4.081713351180202,0.0010381730378069883,0.9902797120702791,0.010018293058686362,4076.0
BSVUSDT,22859.0,0.1,-3.033733307515692,0.031861979975735595,0.9916034223133147,0.012530503498364947,4076.0
BTCUSDC,21040.0,0.1,-3.069379985737004,0.028903767841196238,0.9817402707629713,0.0033416059414981217,4076.0
BULLAUSDT,7915.0,0.1,-3.4039710925776854,0.010824239962749714,0.9771443313325019,0.021255994995172743,4076.0
AUCTIONUSDT,21518.0,0.1,-3.5691096586501527,0.006379799174035357,0.9873577846471624,0.012256163177982301,4076.0
ARKUSDT,23605.0,0.1,-3.388375187956186,0.011361602049193457,0.9871355215715923,0.014382187614531684,4076.0
ARUSDT,40915.0,0.1,-3.2818138356709117,0.015711227612503507,0.9893250050013155,0.007834841209880178,4076.0
ATOMUSDT,55288.0,0.1,-3.6242408623305797,0.005314151574743894,0.9912161106832593,0.009186391800538067,4076.0
ARCUSDT,11942.0,0.1,-3.377391747890171,0.011754157956597438,0.9813300056784776,0.007740167570199667,4076.0
ARPAUSDT,40417.0,0.1,-4.104926473601556,0.0009505229766957773,0.990485786339494,0.009684650421495751,4076.0
1000PEPEUSDT,26891.0,0.1,-3.3906070776602113,0.01128327381807716,0.9799783251910079,0.007518051729096271,4076.0
1000RATSUSDT,21517.0,0.1,-4.075073085643132,0.0010646031447499038,0.9792775685327395,0.005328644074198614,4076.0
ZENUSDT,48309.0,0.1,-4.397572272345597,0.0002997829828668974,0.9914251076083048,0.009260262804542814,4076.0
ZECUSDT,55335.0,0.1,-3.095673487882841,0.0268750309741864,0.9914554300094419,0.011345345586403486,4076.0
TWTUSDT,22521.0,0.1,-3.5485993339929114,0.006823240642511211,0.9873297486434873,0.018127847679893217,4076.0
TREEUSDT,7310.0,0.1,-4.813551619936447,5.123086405145607e-05,0.8847000156445352,-0.011168074589971376,4076.0
SPELLUSDT,32680.0,0.1,-3.609724853533901,0.00557780808295326,0.9902512174544013,0.012864609857477463,4076.0
SOPHUSDT,8799.0,0.1,-3.721731935637242,0.0038176538828514064,0.9720072644477029,0.00017875471194950647,4076.0
SOONUSDT,8924.0,0.1,-3.6031820854318704,0.005700483701596025,0.9845590667576156,0.016190466977777655,4076.0
VELVETUSDT,7651.0,0.1,-3.4587789852016106,0.009111037051109477,0.9573699172138717,0.02082612362637217,4076.0
USTCUSDT,21952.0,0.1,-3.5841863561899365,0.00607064768211186,0.9897821011588088,0.006842361903469218,4076.0
TOWNSUSDT,7142.0,0.1,-4.36516892357798,0.0003419203422177529,0.9110752707849561,-0.0022748604862273167,4076.0
TRXUSDT,55844.0,0.1,-3.130205887145199,0.024397083948702342,0.9953642173250938,0.0038015263585665917,4076.0
STGUSDT,32968.0,0.1,-3.2642695091002087,0.016553157642827266,0.9912866336659423,0.00834783404060408,4076.0
ETHFIUSDC,18189.0,0.1,-2.9442173866670758,0.04044245954086867,0.9858040723005778,0.009404122011510732,4076.0
PENGUUSDC,7461.0,0.1,-2.8759074973264096,0.04822221487239084,0.9452898025221871,-0.0008688833056745535,4076.0
PENDLEUSDT,24890.0,0.1,-3.631433111406655,0.005187760075585369,0.9764233479240474,0.00699876995687395,4076.0
RENDERUSDT,16145.0,0.1,-3.422174821365546,0.01022576495885193,0.981194943700061,0.010498801842318054,4076.0
NEARUSDT,49268.0,0.1,-4.045670765663455,0.0011893689750082914,0.9871992463054539,0.00835707386971218,4076.0
NEARUSDC,18693.0,0.1,-3.00779744626478,0.03417260551280606,0.9862971322265737,0.006567034170339503,4076.0
RAREUSDT,15663.0,0.1,-2.932250703043041,0.041724165863756074,0.9909100063762994,0.012310221767929902,4076.0
QTUMUSDT,54975.0,0.1,-4.045203112491722,0.0011914594663559358,0.9898191094452783,0.010983796303217374,4076.0
LQTYUSDT,28240.0,0.1,-3.0629028415749477,0.029423157180043624,0.9896252237705236,0.013995389315431197,4076.0
IOTAUSDT,55167.0,0.1,-3.172364623222991,0.02164109326157628,0.9923333794850635,0.009284028234869833,4076.0
INJUSDT,33170.0,0.1,-3.0186864267078803,0.03318579116913481,0.9851807960435744,0.003977078589944647,4076.0
INITUSDT,9814.0,0.1,-4.931650038358246,3.025064176716008e-05,0.9232850937303838,0.008240637260311046,4076.0
ICPUSDT,32186.0,0.1,-3.348132995439153,0.012859322531861518,0.987345202347354,0.012093756138647738,4076.0
HOTUSDT,45284.0,0.1,-3.1036825201849068,0.026281863081704555,0.9932961511373907,0.005180654779793921,4076.0
HUSDT,8126.0,0.1,-3.388612393380139,0.011353254400224068,0.9797532743417365,0.0200144784267253,4076.0
HYPERUSDT,9663.0,0.1,-4.92793646128612,3.076093073005845e-05,0.9563791968316944,0.016975002763849986,4076.0
HBARUSDT,45597.0,0.1,-3.6621165977889962,0.00467869677785195,0.9869385040820817,0.007223118452104745,4076.0
FILUSDT,49246.0,0.1,-3.1732376050501885,0.021587000523638107,0.995905260370462,0.004732044602639828,4076.0
GASUSDT,22754.0,0.1,-3.8038243452758795,0.0028684284093493254,0.9866296871616604,0.015126732405512471,4076.0
GALAUSDT,41156.0,0.1,-2.926929461302721,0.04230489301355289,0.9907713028757514,0.00891843311038689,4076.0
GIGGLEUSDT,5587.0,0.1,-2.9596762111084014,0.038835606898918025,0.9875351979120893,0.019930511435301727,4076.0
GLMUSDT,19861.0,0.1,-3.7021007857445296,0.004083701555813852,0.9870306087614341,0.017020110177206362,4076.0
GRTUSDT,47704.0,0.1,-2.9052442228288347,0.04474155552219669,0.9924870346825295,0.008866434383085061,4076.0
GTCUSDT,43536.0,0.1,-3.0357028056593567,0.03169207017533491,0.9963799769903889,0.0046663516563693296,4076.0
ETHUSDC,21040.0,0.1,-3.2971922955346513,0.015004446398310146,0.9824952550174448,0.015204454566600807,4076.0
