market,instrument,feature,n_oos,sharpe,mean,skew,kurt
crypto,ATOMUSDT,ent_konto,5897,-0.05543397258650089,-0.002569626566302593,-0.11136539746149142,4.5521954210410485
crypto,BCHUSDT,sadf,5930,0.02736279167616865,0.001138417429236963,0.17214517414618752,6.078729239485854
crypto,BCHUSDT,ent_shannon,5892,-0.011519087173312155,-0.0004779570581678027,0.015148958493637413,6.118537348138351
crypto,BCHUSDT,ent_lz,5892,-0.0342375915067065,-0.0014200016414506462,-0.09411687211026767,6.108060202918917
crypto,BCHUSDT,ent_konto,5892,0.01323887340412737,0.0005493454140677143,0.06779522383454764,6.109694909605894
crypto,DOTUSDT,sadf,5934,0.03762523546327499,0.0016240629630678801,-0.0649582034660934,4.333526688929113
crypto,DOTUSDT,ent_shannon,5896,0.0339982975747392,0.0014697206882790905,0.03338265913478794,4.315519881712836
crypto,DOTUSDT,ent_lz,5896,0.04920829745803511,0.002125661426547675,0.10139678320501382,4.302311031287769
crypto,DOTUSDT,ent_konto,5896,-0.04111284557143167,-0.0017765909137733072,-0.18021584377281416,4.29264256039296
equities,SPY,sadf,5934,-0.02906778401773227,-0.0006691384146494562,-0.02654502318912046,6.216286823185136
equities,SPY,ent_shannon,5896,-0.025374070942234817,-0.0005840453065014596,-0.07467887169862246,6.2027063179255695
equities,SPY,ent_lz,5896,-0.021110715920778594,-0.00048747942241205724,0.1517262961843909,6.3395166746535025
equities,SPY,ent_konto,5896,0.031309353931313066,0.0007213736719041787,0.32126512637576904,6.1491472222668575
equities,QQQ,sadf,5935,-0.040148112777767954,-0.0010508627598217757,-0.1762852153140871,5.268839792532499
equities,QQQ,ent_shannon,5897,0.03371104184839393,0.0008827478814492133,-0.05466919519158835,5.33817762960928
equities,QQQ,ent_lz,5897,-0.025358057574673205,-0.0006679003336418711,-0.0603722926342166,5.321124299514849
equities,QQQ,ent_konto,5897,0.026060770009698645,0.0006839724380764061,-0.12658450767542348,5.41592502920252
equities,IWM,sadf,5934,-0.07037474312293068,-0.002116607374165013,-0.016886009752299085,6.017178771372303
equities,IWM,ent_shannon,5896,-0.02791531198135515,-0.0008425280065103247,-0.3242259724874144,5.989792038256644
equities,IWM,ent_lz,5896,0.0022600117340072553,6.846616622176554e-05,0.18016160936752093,5.977516211899699
equities,IWM,ent_konto,5896,-0.05109465092762457,-0.0015408532515827644,-0.19535902364614885,5.9520626660474125
equities,XLK,sadf,5934,-0.04977472544788024,-0.00162642646151156,-7.218125516516231,156.05180567957945
equities,XLK,ent_shannon,5896,-0.05452261654276888,-0.0017184915074539302,-8.31456403366111,178.79254509365748
equities,XLK,ent_lz,5896,-0.0841281161861717,-0.00266881427793416,-8.118594663981415,173.33689019512303
equities,XLK,ent_konto,5896,-0.025209213945829263,-0.0007960935576864254,-8.255212161499461,178.42192219985853
equities,XLF,sadf,5934,-0.07971530670544263,-0.0029337602696263556,0.04093098473258997,8.749595144184124
equities,XLF,ent_shannon,5896,-0.01962361933212297,-0.0007204244837864334,-0.17947158021709148,8.787114766478794
equities,XLF,ent_lz,5896,-0.17061599054538143,-0.006429301007191811,-0.0063805948122923365,8.71049788952649
equities,XLF,ent_konto,5896,-0.029622021748447316,-0.0010899601470558216,0.05313376611920259,8.820541742077353
equities,XLE,sadf,5935,-0.042539876782045245,-0.0018077010196273773,-3.7049633763267353,61.31655989295178
equities,XLE,ent_shannon,5897,-0.02482830983169053,-0.0010557419535947607,-3.7287999559657004,61.828742840720345
equities,XLE,ent_lz,5897,-0.016380889050137994,-0.000698651940634223,-3.5057294820991047,61.787710300074394
equities,XLE,ent_konto,5897,-0.0487894477644164,-0.0020739127926086834,-3.2547325576849664,61.63907421082872
equities,XLV,sadf,5935,-0.008373880993517175,-0.00016433041525434758,-0.058782861568844526,10.344573140894125
equities,XLV,ent_shannon,5897,-0.045361962550488535,-0.0008426778683763131,-0.052657035126785996,4.95624267622328
equities,XLV,ent_lz,5897,-0.06651442896648983,-0.0012528034772587764,-0.22862110954771223,5.080227140140263
equities,XLV,ent_konto,5897,-0.04971469461872973,-0.0009268381746005735,-0.16264755039708856,4.9174432456475685
forex,EURUSD,sadf,5934,0.011225545473123938,4.553456672742327e-05,-0.0973870473540291,4.028471759368081
forex,EURUSD,ent_shannon,5896,0.02528486335978868,0.00010255220377075448,0.12653842914650143,4.01300277644745
forex,EURUSD,ent_lz,5896,0.024738036170635386,0.00010033794888106657,-0.012306993590165877,4.026319649315475
forex,EURUSD,ent_konto,5896,-0.0398115121360027,-0.00016139808116984492,-0.09419457996052195,4.013505207031334
forex,GBPUSD,sadf,5934,0.01807833372341904,8.557935430298492e-05,0.3180799940464671,6.063852650677864
forex,GBPUSD,ent_shannon,5896,0.032270242701893506,0.00015293009924488994,0.3291996886373207,6.048778590497718
forex,GBPUSD,ent_lz,5896,-0.03947046648763963,-0.00018700623300504113,-0.36030604141705835,6.040984314539594
forex,GBPUSD,ent_konto,5896,0.026117902382722442,0.00012378971711092806,0.38992093591761917,6.04744916843202
forex,USDJPY,sadf,5934,0.033392002061136176,0.00018235247105249662,0.17910107141019974,5.5504005278259845
forex,USDJPY,ent_shannon,5896,0.06272214580882506,0.00034256067563417545,0.16064816585115932,5.54572069233074
forex,USDJPY,ent_lz,5896,-0.004801753165477641,-2.6276966281632407e-05,-0.18152087062921826,5.562901629421515
forex,USDJPY,ent_konto,5896,0.04426788963234944,0.00024202378392096494,0.10766367973079922,5.556746954795213
forex,USDCHF,sadf,5934,-0.028665596022386736,-0.00011804013365417604,-0.030948449522952774,4.242601851715007
forex,USDCHF,ent_shannon,5896,0.052587995252814254,0.00021619074404206014,-0.009715318521281165,4.267190871991713
forex,USDCHF,ent_lz,5896,0.020482726454403223,8.429751590873373e-05,-0.055612356803648816,4.267131336767073
forex,USDCHF,ent_konto,5896,0.04267324496629759,0.00017550517945110982,0.1742009262140454,4.229639654452966
forex,USDCAD,sadf,5935,-0.004581130312927806,-1.5361226178994368e-05,0.06747729681320136,4.090633194868448
forex,USDCAD,ent_shannon,5897,0.020649365457431724,6.92267692332544e-05,0.07693962606782598,4.089127762362504
forex,USDCAD,ent_lz,5897,0.042321194619117423,0.00014178865989195893,-0.014208248093603756,4.1017571168305995
forex,USDCAD,ent_konto,5897,-0.0631368556770203,-0.0002113173257750654,-0.15027317408614596,4.065511570816021
forex,AUDUSD,sadf,5935,-0.024454539624946956,-0.00013794437302120906,-0.030105072018631326,3.623363117606078
forex,AUDUSD,ent_shannon,5897,-0.1176239118802827,-0.0006595647193796312,-0.028106809871300025,3.6355344467357043
forex,AUDUSD,ent_lz,5897,-0.035812407188909906,-0.00020204687776461964,-0.03827546049594945,3.6256961102712593
forex,AUDUSD,ent_konto,5897,0.017037172364572438,9.618327732278421e-05,-0.03110582983214667,3.6324384746233878
forex,NZDUSD,sadf,5934,0.04213004448202863,0.0002391458106915034,0.04294251042934723,3.6502553994494487
forex,NZDUSD,ent_shannon,5896,0.022781384326617506,0.00012959114563806275,-0.019410446858683518,3.6525913835855213
forex,NZDUSD,ent_lz,5896,-0.04278642053784481,-0.00024318741130655917,-0.056579151532637394,3.644309034097768
forex,NZDUSD,ent_konto,5896,0.0027715339257596743,1.5766687744412816e-05,0.046098425812664275,3.650345855819046
forex,EURGBP,sadf,5935,-0.04400436787997801,-0.00013327536043839064,-0.29643937137625037,7.1119539991329646
forex,EURGBP,ent_shannon,5897,0.03782400010105981,0.00011454811534710382,0.28757409902217873,7.152541437557347
forex,EURGBP,ent_lz,5897,-0.018781426838748172,-5.690873987554478e-05,-0.1567274436968613,7.170912041860732
forex,EURGBP,ent_konto,5897,0.01668518810624036,5.0563680742319363e-05,0.34396901443343947,7.165138216998893
