instrument,rule,n_oos,sharpe,skew,kurt
XLK,R_hient_dir,5896,0.02913785024036721,-12.540655106589004,311.45274569165144
XLF,R_expl_dir,5896,-0.010747588061957969,2.9976116633576475,91.46099730265705
XLF,R_loent_dir,5896,-0.04840042509946018,-0.08981127224675056,17.363760180189026
XLF,R_hient_dir,5896,-0.00814967420949396,-0.7769826367265503,14.609957638041754
XLE,R_expl_dir,5897,-0.01932858766650579,-3.860115953767187,94.82699625364181
XLE,R_loent_dir,5897,-0.03182241695072552,-1.1930471874366486,23.150406676267075
XLE,R_hient_dir,5897,-0.032341584911712726,-6.617937980469059,137.9080338408487
XLV,R_expl_dir,5897,0.010018022929131218,2.0158047026365797,60.07224787846727
XLV,R_loent_dir,5897,0.017754640445733893,-0.28562221522743236,10.613178556209185
XLV,R_hient_dir,5897,0.057818481861526896,0.22877894891956,9.222103272221366
EURUSD,R_expl_dir,5896,0.021973894518416227,0.6997236412680519,26.657453224516434
EURUSD,R_loent_dir,5896,-0.021119542090335078,0.13365813323174822,9.606995941434182
EURUSD,R_hient_dir,5896,-0.0338721235972317,-0.07823486543230895,6.704556796569841
GBPUSD,R_expl_dir,5896,0.01459773174449398,3.2577268980587193,87.84234495571705
GBPUSD,R_loent_dir,5896,0.030680517228375313,0.7340980119418004,15.306988776200296
GBPUSD,R_hient_dir,5896,-0.020107935974371723,0.08303334246161596,8.134767842836784
USDJPY,R_expl_dir,5896,-0.040747647483791845,-2.1673695498933827,33.35846814285999
USDJPY,R_loent_dir,5896,0.0872762717495124,-0.17932423489193042,13.951623799755495
USDJPY,R_hient_dir,5896,-0.03554955797235082,-0.4790761164156725,9.310331325354813
USDCHF,R_expl_dir,5896,-0.03961279521519367,-1.3248624380357297,28.024872383472655
USDCHF,R_loent_dir,5896,0.04210198766965706,0.5972287115320037,10.002728151129858
USDCHF,R_hient_dir,5896,0.03240520379992798,-0.34313092822628344,7.195277057290951
USDCAD,R_expl_dir,5897,0.019264821533334663,0.2896068271338535,33.53682014405154
USDCAD,R_loent_dir,5897,0.04146325706731798,0.44964026547692226,9.049843438460538
USDCAD,R_hient_dir,5897,0.00590851161505674,-0.0012588976101213841,7.36553881268066
AUDUSD,R_expl_dir,5897,-0.040857311386512316,-1.640596538965842,41.60741235559073
AUDUSD,R_loent_dir,5897,-0.018734117184380103,0.15303910153163416,7.7965828774162445
AUDUSD,R_hient_dir,5897,-0.06241649355982786,-0.356693259113058,6.742286311079871
NZDUSD,R_expl_dir,5896,0.04289086533700631,1.4389505207681814,40.254102605811326
NZDUSD,R_loent_dir,5896,0.037397906681907456,0.05261185655510498,7.785783244840717
NZDUSD,R_hient_dir,5896,-0.042833850435498734,-0.1296658443280548,6.833773363145216
EURGBP,R_expl_dir,5897,-0.05738277622995821,-6.721207518465257,172.88880014509104
EURGBP,R_loent_dir,5897,0.02593055166893847,1.4388039092095966,22.457312872338345
EURGBP,R_hient_dir,5897,0.027536826890509476,-0.1867271955797827,8.886250642600789
